10.4952, 2.9012, 2.8375, 0.8792, -0.0553, -0.4732, 0.7981, 0.2106
10.7831, 2.9461, 3.2673, 0.8114, -0.1006, -0.5757, 0.8517, 0.1912
10.7351, 2.4508, 3.3065, 0.8250, -0.1566, -0.5430, 0.8538, 0.1712
10.4659, 2.4376, 2.8683, 0.8873, -0.1327, -0.4416, 0.8189, 0.1866
10.7831, 2.9461, 3.2673, 0.8114, -0.1006, -0.5757, 0.8517, 0.1912
11.1543, 2.9770, 3.7497, 0.7855, -0.1394, -0.6030, 0.8998, 0.1744
11.0807, 2.4447, 3.7988, 0.7962, -0.1892, -0.5747, 0.8999, 0.1512
10.7351, 2.4508, 3.3065, 0.8250, -0.1566, -0.5430, 0.8538, 0.1712
10.9726, 1.9034, 3.8519, 0.7993, -0.2473, -0.5476, 0.8909, 0.1287
10.6405, 1.9432, 3.3434, 0.8210, -0.2339, -0.5208, 0.8498, 0.1523
10.7351, 2.4508, 3.3065, 0.8250, -0.1566, -0.5430, 0.8538, 0.1712
11.0807, 2.4447, 3.7988, 0.7962, -0.1892, -0.5747, 0.8999, 0.1512
10.6405, 1.9432, 3.3434, 0.8210, -0.2339, -0.5208, 0.8498, 0.1523
10.3795, 1.9612, 2.8904, 0.8750, -0.2380, -0.4215, 0.8207, 0.1700
10.4659, 2.4376, 2.8683, 0.8873, -0.1327, -0.4416, 0.8189, 0.1866
10.7351, 2.4508, 3.3065, 0.8250, -0.1566, -0.5430, 0.8538, 0.1712
11.9945, 2.9191, 4.9254, 0.8174, -0.2278, -0.5291, 1.0000, 0.1451
11.8589, 2.3196, 4.9955, 0.8233, -0.2659, -0.5014, 1.0000, 0.1088
11.4672, 2.4055, 4.3576, 0.8041, -0.2268, -0.5495, 0.9491, 0.1303
11.5707, 2.9744, 4.2981, 0.7918, -0.1823, -0.5830, 0.9495, 0.1582
11.8589, 2.3196, 4.9955, 0.8233, -0.2659, -0.5014, 1.0000, 0.1088
11.6983, 1.7177, 5.0763, 0.8242, -0.3089, -0.4746, 1.0000, 0.0725
11.3355, 1.8304, 4.4251, 0.8063, -0.2752, -0.5236, 0.9427, 0.1015
11.4672, 2.4055, 4.3576, 0.8041, -0.2268, -0.5495, 0.9491, 0.1303
10.9726, 1.9034, 3.8519, 0.7993, -0.2473, -0.5476, 0.8909, 0.1287
11.0807, 2.4447, 3.7988, 0.7962, -0.1892, -0.5747, 0.8999, 0.1512
11.4672, 2.4055, 4.3576, 0.8041, -0.2268, -0.5495, 0.9491, 0.1303
11.3355, 1.8304, 4.4251, 0.8063, -0.2752, -0.5236, 0.9427, 0.1015
11.0807, 2.4447, 3.7988, 0.7962, -0.1892, -0.5747, 0.8999, 0.1512
11.1543, 2.9770, 3.7497, 0.7855, -0.1394, -0.6030, 0.8998, 0.1744
11.5707, 2.9744, 4.2981, 0.7918, -0.1823, -0.5830, 0.9495, 0.1582
11.4672, 2.4055, 4.3576, 0.8041, -0.2268, -0.5495, 0.9491, 0.1303
11.5108, 1.1227, 5.1681, 0.8176, -0.3578, -0.4512, 1.0000, 0.0363
11.2946, 0.5439, 5.2717, 0.8006, -0.4137, -0.4335, 1.0000, 0.0000
10.9835, 0.7036, 4.6038, 0.7744, -0.3975, -0.4922, 0.8568, 0.0633
11.1745, 1.2596, 4.5056, 0.7975, -0.3317, -0.5040, 0.9244, 0.0746
10.6529, 0.8371, 4.0104, 0.7479, -0.3975, -0.5317, 0.7945, 0.0983
10.8278, 1.3634, 3.9170, 0.7838, -0.3184, -0.5332, 0.8624, 0.1099
11.1745, 1.2596, 4.5056, 0.7975, -0.3317, -0.5040, 0.9244, 0.0746
10.9835, 0.7036, 4.6038, 0.7744, -0.3975, -0.4922, 0.8568, 0.0633
10.8278, 1.3634, 3.9170, 0.7838, -0.3184, -0.5332, 0.8624, 0.1099
10.9726, 1.9034, 3.8519, 0.7993, -0.2473, -0.5476, 0.8909, 0.1287
11.3355, 1.8304, 4.4251, 0.8063, -0.2752, -0.5236, 0.9427, 0.1015
11.1745, 1.2596, 4.5056, 0.7975, -0.3317, -0.5040, 0.9244, 0.0746
11.6983, 1.7177, 5.0763, 0.8242, -0.3089, -0.4746, 1.0000, 0.0725
11.5108, 1.1227, 5.1681, 0.8176, -0.3578, -0.4512, 1.0000, 0.0363
11.1745, 1.2596, 4.5056, 0.7975, -0.3317, -0.5040, 0.9244, 0.0746
11.3355, 1.8304, 4.4251, 0.8063, -0.2752, -0.5236, 0.9427, 0.1015
10.3115, 0.9312, 3.4723, 0.7231, -0.4373, -0.5346, 0.7689, 0.1261
9.9363, 0.9632, 2.9312, 0.6979, -0.5471, -0.4622, 0.7918, 0.1587
10.2207, 1.4794, 2.9085, 0.8253, -0.3713, -0.4255, 0.8099, 0.1591
10.4906, 1.4311, 3.3850, 0.7949, -0.3249, -0.5124, 0.8275, 0.1388
10.3795, 1.9612, 2.8904, 0.8750, -0.2380, -0.4215, 0.8207, 0.1700
10.6405, 1.9432, 3.3434, 0.8210, -0.2339, -0.5208, 0.8498, 0.1523
10.4906, 1.4311, 3.3850, 0.7949, -0.3249, -0.5124, 0.8275, 0.1388
10.2207, 1.4794, 2.9085, 0.8253, -0.3713, -0.4255, 0.8099, 0.1591
10.9726, 1.9034, 3.8519, 0.7993, -0.2473, -0.5476, 0.8909, 0.1287
10.8278, 1.3634, 3.9170, 0.7838, -0.3184, -0.5332, 0.8624, 0.1099
10.4906, 1.4311, 3.3850, 0.7949, -0.3249, -0.5124, 0.8275, 0.1388
